Accession	Kingdom	Family	Genus	Species	Molecule_type	Length	Nuc_Completeness	Geo_Location	BioSample	Lat_long	Gene_Description	Host	Host_Disease
GCA_002073995.1	Bacteria	Vibrionaceae	Vibrio	Vibrio coralliilyticus SNUTY-1	dsDNA	5842680	Complete	South Korea:Tongyeong City	SAMN06626869	34.84 N 128.39 E	Vibrio coralliilyticus SNUTY-1 genome	Crassostrea gigas	Bacillary necrosis
GCA_000739395.1	Bacteria	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum CSF259-93	dsDNA	2900735	Complete	USA:Idaho County	SAMN02770278		Flavobacterium psychrophilum CSF259-93 genome	Oncorhynchus tshawytscha	Bacterial cold water
GCA_000018885.1	Bacteria	Micrococcaceae	Renibacterium	Renibacterium salmoninarum Lea-1-74|ATCC 33209|DSM 20767|JCM 11484|NBRC 15589|NCIMB 2235	dsDNA	3155250	Complete	USA:State of Oregon	SAMN02603684		Renibacterium salmoninarum Lea-1-74|ATCC 33209|DSM 20767|JCM 11484|NBRC 15589|NCIMB 2235 genome		Bacterial kidney disease
GCA_000236645.1	Bacteria	Rhodobacteraceae	Pseudovibrio	Pseudovibrio sp. FO-BEG1 FO-BEG1|DSM 100123|DSM 100123	dsDNA	5916782	Complete	USA:Florida	SAMN02261085		Pseudovibrio sp. FO-BEG1 FO-BEG1|DSM 100123|DSM 100123 genome	Oncorhynchus mykiss	Black band disease
GCA_003443615.1	Bacteria	Alteromonadaceae	Alteromonas	Alteromonas sp. BL110 BL110	dsDNA	4458618	Complete	Australia:Sydney	SAMN09780815		Alteromonas sp. BL110 BL110 genome	Neophocaena phocaenoides	Bleaching disease
GCA_000590815.1	Bacteria	Brucellaceae	Brucella	Brucella ceti TE28753-12	dsDNA	3277545	Complete	Adriatic Sea	SAMN02371861		Brucella ceti TE28753-12 genome		Cetaceans pathogen
GCA_000590795.1	Bacteria	Brucellaceae	Brucella	Brucella ceti TE10759-12	dsDNA	3278034	Complete	Adriatic Sea	SAMN02402452		Brucella ceti TE10759-12 genome	Pagrus major	Cetaceans pathogen
GCA_000971605.2	Bacteria	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum MH1	dsDNA	2847905	Complete	Chile:Region of Los Lagos	SAMN02941921		Flavobacterium psychrophilum MH1 genome	Oncorhynchus kisutch	Cold water disease
GCA_000971645.2	Bacteria	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum PG-2	dsDNA	2850726	Complete	Chile:Region of Los Lagos	SAMN02941922		Flavobacterium psychrophilum PG-2 genome	Salmo salar	Cold water disease
GCA_000971685.2	Bacteria	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum VQ50	dsDNA	2806870	Complete	Chile:Region of la Araucania	SAMN02941923		Flavobacterium psychrophilum VQ50 genome	Oncorhynchus mykiss	Cold water disease
GCA_000754405.1	Bacteria	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum FPG3|ATCC 49418|DSM 3660|NCMB1947|LMG 13179|IAM 14308|NCMB 1947	dsDNA	2715909	Complete	USA:Washington	SAMN03290988		Flavobacterium psychrophilum FPG3|ATCC 49418|DSM 3660|NCMB1947|LMG 13179|IAM 14308|NCMB 1947 genome	Oncorhynchus mykiss	Cold water disease
GCA_000754365.1	Bacteria	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum FPG101	dsDNA	2835130	Complete	Canada	SAMN03290989		Flavobacterium psychrophilum FPG101 genome	Salmo salar	Cold water disease
GCA_001534725.1	Bacteria	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis CGR02	dsDNA	3423535	Complete	Chile	SAMN04309076		Piscirickettsia salmonis CGR02 genome	Gadus morhua	Cold water disease
GCA_000196495.1	Bacteria	Vibrionaceae	Aliivibrio	Aliivibrio salmonicida LFI1238	dsDNA	4655660	Complete	Norway:Municipality of Hammerfest	SAMEA1705917		Aliivibrio salmonicida LFI1238 genome	Lagenorhynchus acutus	Cold-water vibriosis
GCA_000259275.1	Bacteria	Helicobacteraceae	Helicobacter	Helicobacter cetorum MIT99-5656|ATCC BAA-540	dsDNA	1847790	Complete	USA:Cape Cod	SAMN02603198		Helicobacter cetorum MIT99-5656|ATCC BAA-540 genome	Anguilla japonica	Commensal (dead host)
GCA_001632805.1	Bacteria	Mycobacteriaceae	Mycobacteroides	Mycobacteroides chelonae RAM|CCUG 47445|ATCC35752|JCM 6388|CIP 104535|DSM 43804|NCTC 946	dsDNA	5029817	Complete	France:France	SAMN02630629		Mycobacteroides chelonae RAM|CCUG 47445|ATCC35752|JCM 6388|CIP 104535|DSM 43804|NCTC 946 genome	Oncorhynchus mykiss	Cutaneous infection:pulmonary disease:Diabetes mellitus:dacryocystitis:canaliculitis:conjunctivitis:scleritis:endophthalmitis:keratitis
GCA_000264765.2	Bacteria	Hafniaceae	Edwardsiella	Edwardsiella anguillarum 80813	dsDNA	4329652	Complete	China:Fujian Province	SAMN02469761		Edwardsiella anguillarum 80813 genome	Oncorhynchus tshawytscha	Edwardsiellosis
GCA_000964565.1	Bacteria	Yersiniaceae	Yersinia	Yersinia ruckeri Big Creek 74	dsDNA	3699725	Complete	USA:State of Oregon	SAMN03421018		Yersinia ruckeri Big Creek 74 genome	Salmo trutta	Enteric redmouth disease
GCA_001514395.1	Bacteria	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis PSCGR01	dsDNA	3489744	Complete	Chile	SAMN04309069		Piscirickettsia salmonis PSCGR01 genome	Haliotis gigantea	Fish pathogen
GCA_001971745.1	Bacteria	Flavobacteriaceae	Lacinutrix	Lacinutrix venerupis DOK2-8	dsDNA	3192399	Complete	South Korea:Liancourt Rocks	SAMN06234633		Lacinutrix venerupis DOK2-8 genome	Phoca vitulina	Fish pathogen
GCA_000196395.1	Bacteria	Aeromonadaceae	Aeromonas	Aeromonas salmonicida A449	dsDNA	5040536	Complete	France:France	SAMN02603664		Aeromonas salmonicida A449 genome	Scophthalmus maximus	Furunculosis
GCA_000020865.1	Bacteria	Hafniaceae	Edwardsiella	Edwardsiella tarda EIB202	dsDNA	3804170	Complete	China:Yantai City Prefecture	SAMN02603129		Edwardsiella tarda EIB202 genome	Oncorhynchus mykiss	Gastroenteritis;Septicemia
GCA_002211785.1	Bacteria	Francisellaceae	Francisella	Francisella halioticida Shimane-1|DSM 23729|LMG 26062	dsDNA	2197430	Complete	Japan:Shimane Prefecture	SAMN07207140		Francisella halioticida Shimane-1|DSM 23729|LMG 26062 genome	Stenella coeruleoalba	Giant abalone pathogen
GCA_000750515.1	Bacteria	Lactobacillaceae	Weissella	Weissella ceti WS74	dsDNA	1389513	Complete	Brazil:Minas Gerais State	SAMN02947894		Weissella ceti WS74 genome	Oncorhynchus mykiss	Haemorrhagic septicamia
GCA_000750535.1	Bacteria	Lactobacillaceae	Weissella	Weissella ceti WS105	dsDNA	1390397	Complete	Brazil:Minas Gerais State	SAMN02947896		Weissella ceti WS105 genome	Oncorhynchus mykiss	Haemorrhagic septicamia
GCA_003691505.1	Bacteria	Vibrionaceae	Vibrio	Vibrio owensii	dsDNA	6424315	Complete	China:Zhejiang Province	SAMN09874178		Vibrio owensii Bradyrhizobium sp. 12LoS21_2§taxonomy:1700302 genome	Seriola quinqueradiata	Host_disease_outcome:death
GCA_003691525.1	Bacteria	Vibrionaceae	Vibrio	Vibrio parahaemolyticus	dsDNA	5396107	Complete	China:Zhejiang Province	SAMN09878947		Vibrio parahaemolyticus Acidithiobacillus sp. NO-25§taxonomy:160807 genome	Penaeus vannamei	Host_disease_outcome:death
GCA_000269925.1	Bacteria	Streptococcaceae	Lactococcus	Lactococcus garvieae YT-3|ATCC 49156|DSM 6783|NCIMB 13208	dsDNA	1950130	Complete	Japan	SAMD00060911		Lactococcus garvieae YT-3|ATCC 49156|DSM 6783|NCIMB 13208 genome	Delisea pulchra	Host_health_state:diseased
GCA_900095155.1	Bacteria	Brucellaceae	Brucella	Brucella sp. 141012304 141012304	dsDNA	3442381	Complete	Germany:Frankfurt	SAMEA4378174		Brucella sp. 141012304 141012304 genome	Penaeus vannamei	Host_health_state:diseased
GCA_900119795.1	Bacteria	Flavobacteriaceae	Tenacibaculum	Tenacibaculum maritimum NCIMB 2154|R-2|ATCC 43398|IAM 14317|IFO 15946|NBRC 15946	dsDNA	3435971	Complete	Japan:Hiroshima Prefecture	SAMEA4548139		Tenacibaculum maritimum NCIMB 2154|R-2|ATCC 43398|IAM 14317|IFO 15946|NBRC 15946 genome	Chelona corticata	Host_health_state:diseased
GCA_000269945.1	Bacteria	Streptococcaceae	Lactococcus	Lactococcus garvieae Lg2	dsDNA	1963960	Complete	Japan	SAMD00060912		Lactococcus garvieae Lg2 genome	Yellowtail	Lactococcosis
GCA_006782925.1	Bacteria	Streptococcaceae	Lactococcus	Lactococcus garvieae	dsDNA	2054890	Contig	India:Uttarakhand	SAMN10518796	29.26 N 80.04 E	Lactococcus garvieae genome	Oncorhynchus mykiss	Lactococcosis (chronic hemorrhagic septicemia; host moribund)
GCA_000772065.1	Bacteria	Vibrionaceae	Vibrio	Vibrio coralliilyticus RE98|ATCC 19105	dsDNA	6037820	Complete	USA:Oregon,Netarts Bay	SAMN02940923		Vibrio coralliilyticus RE98|ATCC 19105 genome	Stenella coeruleoalba	Larval oysters and clams pathogen
GCA_000014225.1	Bacteria	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas atlantica T6c|ATCC BAA-1087	dsDNA	5187005	Complete	USA:San Diego Bay	SAMN02598305		Pseudoalteromonas atlantica T6c|ATCC BAA-1087 genome	No host	Lobster shell disease
GCA_000017705.1	Bacteria	Vibrionaceae	Vibrio	Vibrio campbellii BB120|ATCC BAA-1116	dsDNA	6058377	Complete		SAMN02603960		Vibrio campbellii BB120|ATCC BAA-1116 genome	Salmo salar	Luminous vibriosis
GCA_003391395.1	Bacteria	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum	dsDNA	6453310	Complete	Sweden	SAMN07792364	57.7089 N 11.9746 E	Mycobacterium marinum genome	Salt water fish	Mycobacteriosis
GCA_003431805.1	Bacteria	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum	dsDNA	6416700	Scaffold	USA:Oregon	SAMN07811431		Mycobacterium marinum genome	Fish	Mycobacteriosis
GCA_003431775.1	Bacteria	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum	dsDNA	5780550	Scaffold	Israel	SAMN07811432		Mycobacterium marinum genome	Fish	Mycobacteriosis
GCA_003431765.1	Bacteria	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum	dsDNA	5827490	Scaffold	Israel	SAMN07811433		Mycobacterium marinum genome	Fish	Mycobacteriosis
GCA_003431735.1	Bacteria	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum	dsDNA	6104720	Scaffold	USA:Mississippi	SAMN07811434		Mycobacterium marinum genome	Fish	Mycobacteriosis
GCA_003431665.1	Bacteria	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum	dsDNA	6425750	Scaffold	USA:California	SAMN07811436		Mycobacterium marinum genome	Fish	Mycobacteriosis
GCA_003431675.1	Bacteria	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum	dsDNA	5897100	Scaffold	USA:California	SAMN07811437		Mycobacterium marinum genome	Fish	Mycobacteriosis
GCA_003431655.1	Bacteria	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum	dsDNA	6362180	Scaffold	USA:Philadelphia	SAMN07811438		Mycobacterium marinum genome	Fish	Mycobacteriosis
GCA_003431645.1	Bacteria	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum	dsDNA	6304790	Scaffold	USA:Philadelphia	SAMN07811439		Mycobacterium marinum genome	Fish	Mycobacteriosis
GCA_003431605.1	Bacteria	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum	dsDNA	6319950	Scaffold		SAMN07811440		Mycobacterium marinum genome	Fish	Mycobacteriosis
GCA_003431565.1	Bacteria	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum	dsDNA	6395070	Scaffold		SAMN07811441		Mycobacterium marinum genome	Fish	Mycobacteriosis
GCA_003431585.1	Bacteria	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum	dsDNA	6324390	Scaffold	USA:Philadelphia	SAMN07811442		Mycobacterium marinum genome	Fish	Mycobacteriosis
GCA_003391415.1	Bacteria	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum	dsDNA	6467360	Complete	USA:Philadelphia	SAMN07811443		Mycobacterium marinum genome	Fish	Mycobacteriosis
GCA_003431575.1	Bacteria	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum	dsDNA	6521080	Scaffold	USA:Virginia	SAMN07811444		Mycobacterium marinum genome	Fish	Mycobacteriosis
GCA_001932595.1	Bacteria	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis AY6492A	dsDNA	3354469	Complete	Chile	SAMN04362159		Piscirickettsia salmonis AY6492A genome	Salmo salar	Piscirickettsiosis
GCA_001932735.1	Bacteria	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis PM21567A	dsDNA	3349099	Complete	Chile	SAMN04362160		Piscirickettsia salmonis PM21567A genome	Salmo salar	Piscirickettsiosis
GCA_001932755.1	Bacteria	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis PM23019A	dsDNA	3308199	Complete	Chile	SAMN04362173		Piscirickettsia salmonis PM23019A genome	Oncorhynchus mykiss	Piscirickettsiosis
GCA_001932775.1	Bacteria	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis PM37984A	dsDNA	3285457	Complete	Chile	SAMN04362174		Piscirickettsia salmonis PM37984A genome	Salmo salar	Piscirickettsiosis
GCA_001932795.1	Bacteria	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis PM51819A	dsDNA	3429719	Complete	Chile	SAMN04362175		Piscirickettsia salmonis PM51819A genome	Salmo salar	Piscirickettsiosis
GCA_001932815.1	Bacteria	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis PM49811B	dsDNA	3515614	Complete	Chile	SAMN04362177		Piscirickettsia salmonis PM49811B genome	Salmo salar	Piscirickettsiosis
GCA_001932835.1	Bacteria	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis PM58386B	dsDNA	3516383	Complete	Chile	SAMN04362178		Piscirickettsia salmonis PM58386B genome	Salmo salar	Piscirickettsiosis
GCA_001932855.1	Bacteria	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis AY6297B	dsDNA	3515553	Complete	Chile	SAMN04362179		Piscirickettsia salmonis AY6297B genome	Salmo salar	Piscirickettsiosis
GCA_001932875.1	Bacteria	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis AY6532B	dsDNA	3489052	Complete	Chile	SAMN04362180		Piscirickettsia salmonis AY6532B genome	Oncorhynchus mykiss	Piscirickettsiosis
GCA_001932895.1	Bacteria	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis PM22180B	dsDNA	3509728	Complete	Chile	SAMN04376232		Piscirickettsia salmonis PM22180B genome	Salmo salar	Piscirickettsiosis
GCA_001932955.1	Bacteria	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis PM25344B	dsDNA	3511244	Complete	Chile	SAMN04376257		Piscirickettsia salmonis PM25344B genome	Salmo salar	Piscirickettsiosis
GCA_001746795.1	Bacteria	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis AY3800B	dsDNA	3515597	Complete	Chile	SAMN04376258		Piscirickettsia salmonis AY3800B genome	Salmo salar	Piscirickettsiosis
GCA_001932935.1	Bacteria	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis AY3864B	dsDNA	3515597	Complete	Chile	SAMN04376266		Piscirickettsia salmonis AY3864B genome	Oncorhynchus mykiss	Piscirickettsiosis
GCA_001932915.1	Bacteria	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis PM31429B	dsDNA	3515768	Complete	Chile	SAMN04376290		Piscirickettsia salmonis PM31429B genome	Oncorhynchus mykiss	Piscirickettsiosis
GCA_000691825.1	Bacteria	Streptococcaceae	Streptococcus	Streptococcus parauberis	dsDNA	1958840	Contig	Japan:Kagoshima	SAMD00000349		Streptococcus parauberis genome		Potential pathogen
GCA_000739975.1	Bacteria	Streptococcaceae	Lactococcus	Lactococcus garvieae NBRC 100934	dsDNA	2028350	Contig		SAMD00000361		Lactococcus garvieae NBRC 100934 genome		Potential pathogen
GCA_000320965.2	Bacteria	Streptococcaceae	Streptococcus	Streptococcus iniae KCTC 11634BP	dsDNA	2064540	Scaffold		SAMD00036648		Streptococcus iniae KCTC 11634BP genome		Potential pathogen
GCA_000320985.2	Bacteria	Streptococcaceae	Streptococcus	Streptococcus parauberis KCTC 11980BP	dsDNA	2139490	Scaffold		SAMD00036649		Streptococcus parauberis KCTC 11980BP genome		Potential pathogen
GCA_000341505.1	Bacteria	Hafniaceae	Edwardsiella	Edwardsiella tarda ATCC 15947 = NBRC 105688	dsDNA	3610380	Contig		SAMD00041800		Edwardsiella tarda ATCC 15947 = NBRC 105688 genome		Potential pathogen
GCA_002355575.1	Bacteria	Streptococcaceae	Lactococcus	Lactococcus garvieae	dsDNA	2000110	Complete	Japan:Oita	SAMD00046983		Lactococcus garvieae genome		Potential pathogen
GCA_003609695.1	Bacteria	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum	dsDNA	6579340	Complete	USA:Philadelphia	SAMD00109228		Mycobacterium marinum genome		Potential pathogen
GCA_003354245.1	Bacteria	Hafniaceae	Edwardsiella	Edwardsiella tarda	dsDNA	3755400	Complete		SAMD00131843		Edwardsiella tarda genome	Paralichthys olivaceus	Potential pathogen
GCA_013374035.1	Bacteria	Streptococcaceae	Lactococcus	Lactococcus garvieae	dsDNA	2243050	Scaffold	Japan:okinawa	SAMD00228903		Lactococcus garvieae genome		Potential pathogen
GCA_900447455.1	Bacteria	Hafniaceae	Edwardsiella	Edwardsiella tarda	dsDNA	3680780	Contig		SAMEA2665131		Edwardsiella tarda genome		Potential pathogen
GCA_000820425.1	Bacteria	Streptococcaceae	Lactococcus	Lactococcus garvieae	dsDNA	2253700	Contig		SAMEA2766081		Lactococcus garvieae genome		Potential pathogen
GCA_000723425.2	Bacteria	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum E11	dsDNA	6450520	Complete		SAMEA3139029		Mycobacterium marinum E11 genome		Potential pathogen
GCA_000786425.1	Bacteria	Vibrionaceae	Vibrio	Vibrio anguillarum	dsDNA	4373830	Complete	Sweden:Baltic Sea, Norrbyn Umeaa	SAMEA3865288		Vibrio anguillarum genome	Oncorhynchus mykiss	Potential pathogen
GCA_900089845.1	Bacteria	Vibrionaceae	Vibrio	Vibrio splendidus	dsDNA	5414250	Contig	South Korea	SAMEA4028999		Vibrio splendidus genome		Potential pathogen
GCA_900452855.1	Bacteria	Vibrionaceae	Vibrio	Vibrio anguillarum	dsDNA	4416480	Contig		SAMEA4504064		Vibrio anguillarum genome	Cod	Potential pathogen
GCA_902364575.1	Bacteria	Streptococcaceae	Lactococcus	Lactococcus garvieae	dsDNA	1982360	Scaffold		SAMEA5849732		Lactococcus garvieae genome		Potential pathogen
GCA_905209015.1	Bacteria	Streptococcaceae	Lactococcus	Lactococcus garvieae	dsDNA	1761490	Contig		SAMEA7847053		Lactococcus garvieae genome		Potential pathogen
GCA_910579895.1	Bacteria	Streptococcaceae	Lactococcus	Lactococcus garvieae	dsDNA	1941060	Scaffold		SAMEA8805291		Lactococcus garvieae genome		Potential pathogen
GCA_000300915.1	Bacteria	Streptococcaceae	Streptococcus	Streptococcus iniae 9117	dsDNA	2078360	Scaffold		SAMN00000311		Streptococcus iniae 9117 genome		Potential pathogen
GCA_000461895.1	Bacteria	Vibrionaceae	Vibrio	Vibrio coralliilyticus OCN008	dsDNA	5534900	Contig	USA	SAMN02304133		Vibrio coralliilyticus OCN008 genome		Potential pathogen
GCA_011212705.1	Bacteria	Vibrionaceae	Vibrio	Vibrio coralliilyticus OCN008	dsDNA	5634690	Complete	USA	SAMN02304133		Vibrio coralliilyticus OCN008 genome		Potential pathogen
GCA_000176135.1	Bacteria	Vibrionaceae	Vibrio	Vibrio coralliilyticus ATCC BAA-450	dsDNA	5680630	Contig		SAMN02393819		Vibrio coralliilyticus ATCC BAA-450 genome		Potential pathogen
GCA_000152765.1	Bacteria	Vibrionaceae	Vibrio	Vibrio splendidus 12B01	dsDNA	5702230	Scaffold		SAMN02436082		Vibrio splendidus 12B01 genome		Potential pathogen
GCA_000187935.2	Bacteria	Streptococcaceae	Streptococcus	Streptococcus parauberis NCFD 2020	dsDNA	2164480	 Chromosome		SAMN02436555		Streptococcus parauberis NCFD 2020 genome		Potential pathogen
GCA_000213885.2	Bacteria	Streptococcaceae	Lactococcus	Lactococcus garvieae 8831	dsDNA	2085930	Contig		SAMN02469657		Lactococcus garvieae 8831 genome		Potential pathogen
GCA_000195475.2	Bacteria	Vibrionaceae	Vibrio	Vibrio coralliilyticus P1	dsDNA	5513260	Contig		SAMN02469785		Vibrio coralliilyticus P1 genome		Potential pathogen
GCA_000504505.1	Bacteria	Streptococcaceae	Lactococcus	Lactococcus garvieae TRF1	dsDNA	2204910	Contig		SAMN02469805		Lactococcus garvieae TRF1 genome		Potential pathogen
GCA_000419315.1	Bacteria	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum str. Europe	dsDNA	6029340	Contig		SAMN02469865		Mycobacterium marinum str. Europe genome		Potential pathogen
GCA_000419335.1	Bacteria	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum MB2	dsDNA	6134390	Contig		SAMN02469867		Mycobacterium marinum MB2 genome		Potential pathogen
GCA_000343855.1	Bacteria	Streptococcaceae	Streptococcus	Streptococcus parauberis KRS-02083	dsDNA	2176240	Contig		SAMN02469868		Streptococcus parauberis KRS-02083 genome		Potential pathogen
GCA_000342505.1	Bacteria	Streptococcaceae	Streptococcus	Streptococcus parauberis KRS-02109	dsDNA	2046540	Contig		SAMN02469869		Streptococcus parauberis KRS-02109 genome		Potential pathogen
GCA_000269705.1	Bacteria	Streptococcaceae	Lactococcus	Lactococcus garvieae IPLA 31405	dsDNA	2052310	Contig		SAMN02470077		Lactococcus garvieae IPLA 31405 genome		Potential pathogen
GCA_000256485.1	Bacteria	Vibrionaceae	Vibrio	Vibrio splendidus 12F01	dsDNA	5810700	Contig	USA:Massachusetts	SAMN02470437		Vibrio splendidus 12F01 genome		Potential pathogen
GCA_000287095.2	Bacteria	Vibrionaceae	Vibrio	Vibrio anguillarum	dsDNA	3844700	Scaffold	USA:Massachusetts	SAMN02470440		Vibrio anguillarum genome		Potential pathogen
GCA_000272105.2	Bacteria	Vibrionaceae	Vibrio	Vibrio splendidus 12E03	dsDNA	5369110	Scaffold	USA:Massachusetts	SAMN02470443		Vibrio splendidus 12E03 genome		Potential pathogen
GCA_000272345.2	Bacteria	Vibrionaceae	Vibrio	Vibrio splendidus 1F-157	dsDNA	5590420	Scaffold	USA:Massachusetts	SAMN02470444		Vibrio splendidus 1F-157 genome		Potential pathogen
GCA_000272285.1	Bacteria	Vibrionaceae	Vibrio	Vibrio splendidus 0407ZC148	dsDNA	5497720	Contig	USA:Massachusetts	SAMN02470445		Vibrio splendidus 0407ZC148 genome		Potential pathogen
GCA_000272325.2	Bacteria	Vibrionaceae	Vibrio	Vibrio splendidus FF-6	dsDNA	5639870	Scaffold	USA:Massachusetts	SAMN02470457		Vibrio splendidus FF-6 genome		Potential pathogen
GCA_000287115.2	Bacteria	Vibrionaceae	Vibrio	Vibrio anguillarum	dsDNA	4020060	Scaffold	USA:Massachusetts	SAMN02470466		Vibrio anguillarum genome		Potential pathogen
GCA_000272225.2	Bacteria	Vibrionaceae	Vibrio	Vibrio splendidus ZS-139	dsDNA	5289880	Scaffold	USA:Massachusetts	SAMN02470467		Vibrio splendidus ZS-139 genome		Potential pathogen
